Index	Most often style	Spectral Clustering	Aglomerative Clustering	K-means
1126	54	4	0	1
1127	72	5	5	1
1128	84	0	0	0
1129	58	5	5	1
1130	81	0	6	3
1131	53	6	2	6
1132	50	0	1	2
1133	55	0	1	4
1134	49	6	2	6
1135	68	0	1	0
1136	50	6	2	6
1137	56	3	4	2
1138	74	3	4	2
1139	53	3	1	5
1140	48	3	1	4
1141	43	3	4	2
1142	56	3	3	5
1143	51	6	2	6
1144	32	3	4	2
1145	51	6	2	6
1146	51	3	3	5
1147	50	3	3	5
1148	72	3	3	5
1149	50	6	2	6
1150	49	6	2	6
1151	51	3	3	5
1152	47	3	4	2
1153	53	6	2	6
1154	49	3	3	5
1155	38	3	3	5
1156	33	3	4	2
1157	39	3	3	5
1158	81	0	1	0
1159	80	0	0	0
1160	50	6	2	6
1161	51	3	1	4
1162	39	0	1	4
1163	47	6	2	6
1164	56	0	1	4
1165	47	3	3	5
1166	57	3	4	2
1167	47	0	0	0
1168	51	6	2	6
1169	56	6	2	6
1170	52	3	3	5
1171	58	3	1	4
1172	47	4	0	1
1173	53	6	2	6
1174	61	3	3	5
1175	60	0	0	0
1176	81	0	6	3
1177	73	3	1	4
1178	50	3	4	2
1179	49	3	4	2
1180	47	3	1	4
1181	30	3	3	5
1182	47	3	1	4
1183	47	6	2	6
1184	42	0	1	0
1185	46	3	3	5
1186	32	3	3	5
1187	49	0	1	4
1188	47	3	3	5
1189	23	3	1	4
1190	81	0	0	0
1191	79	0	1	0
1192	50	6	2	6
1193	50	0	0	0
1194	16	0	6	3
1195	56	0	0	0
1196	62	0	1	0
1197	53	6	2	6
1198	51	6	2	6
1199	45	5	5	1
1200	81	0	1	0
1201	50	4	0	1
1202	32	0	1	0
1203	47	3	3	5
1204	57	5	5	1
1205	56	0	1	2
1206	62	3	1	4
1207	58	3	1	5
1208	81	0	0	0
1209	77	0	0	0
1210	47	6	2	6
1211	53	6	2	6
1212	47	6	2	6
1213	45	5	5	1
1214	37	3	3	5
1215	50	5	5	1
1216	53	3	3	5
1217	45	0	0	0
1218	50	5	5	1
1219	52	3	4	2
1220	52	5	5	1
1221	56	0	0	0
1222	71	0	0	0
1223	53	3	3	5
1224	49	3	3	5
1225	81	0	1	0
1226	47	6	2	6
1227	56	3	3	5
1228	57	6	2	6
1229	64	0	0	0
1230	79	0	1	2
1231	64	3	3	5
1232	81	0	0	0
1233	56	3	3	5
1234	39	3	3	5
1235	34	0	0	0
1236	49	6	2	6
1237	75	0	1	4
1238	20	3	4	2
1239	51	3	3	5
1240	46	0	1	2
1241	53	6	2	6
1242	61	3	1	2
1243	42	3	3	5
1244	39	0	1	4
1245	56	3	1	4
1246	33	3	4	2
1247	37	3	3	5
1248	53	6	2	6
1249	81	0	6	3
1250	73	0	1	4
1251	50	6	2	6
1252	53	6	2	6
1253	78	0	1	4
1254	33	3	3	5
1255	51	3	3	5
1256	32	3	1	4
1257	81	0	0	0
1258	33	3	4	2
1259	52	5	5	1
1260	48	5	5	1
1261	64	3	3	5
1262	47	3	3	5
1263	56	3	3	5
1264	54	3	1	4
1265	56	6	2	6
1266	43	0	1	0
1267	32	3	3	5
1268	58	4	0	1
1269	63	3	1	4
1270	53	5	5	1
1271	76	0	1	4
1272	51	6	2	6
1273	25	3	1	4
1274	63	3	3	5
1275	65	3	4	2
1276	57	3	1	2
1277	47	3	3	5
1278	81	4	0	0
1279	47	6	2	6
1280	50	5	5	1
1281	49	5	5	1
1282	57	0	1	4
1283	51	6	2	1
1284	43	0	1	4
1285	49	3	1	2
1286	47	0	0	0
1287	38	3	1	4
1288	38	3	4	2
1289	25	0	1	4
1290	52	3	1	4
1291	76	0	0	0
1292	69	0	0	0
1293	52	6	2	6
1294	53	6	2	6
1295	55	3	1	2
1296	81	0	6	3
1297	60	3	4	2
1298	43	0	1	0
1299	71	0	0	0
1300	47	3	3	5
1301	51	5	5	1
1302	39	0	1	4
1303	81	0	0	0
1304	56	0	0	0
1305	38	3	4	4
1306	53	3	4	2
1307	64	3	3	5
1308	40	3	3	5
1309	73	0	0	0
1310	48	6	2	6
1311	46	0	1	4
1312	39	3	3	5
1313	32	3	3	5
1314	43	0	0	0
1315	50	6	2	6
1316	78	0	1	0
1317	81	0	0	0
1318	42	0	1	4
1319	81	0	0	0
1320	81	1	6	3
1321	76	3	4	2
1322	57	6	2	6
1323	53	3	3	5
1324	72	3	4	2
1325	47	3	3	5
1326	67	4	0	1
1327	53	6	2	6
1328	49	6	2	6
1329	62	4	0	1
1330	47	3	3	5
1331	50	6	2	6
1332	81	4	0	0
1333	55	3	1	4
1334	43	0	1	0
1335	45	4	2	1
1336	74	0	0	0
1337	53	3	4	2
1338	45	6	2	6
1339	81	0	0	0
1340	49	6	2	6
1341	61	0	0	0
1342	47	3	4	2
1343	62	0	0	0
1344	70	3	1	4
1345	38	3	3	5
1346	53	5	5	1
1347	56	3	3	5
1348	35	3	3	5
